dteday,season,weathersit_x,cnt_x,weekday_x,is_weekend_x,week,month,year,Level_deman_x,weather_label_x,hr,weathersit_y,cnt_y,weekday_y,is_weekend_y,hour_block,Level_deman_y,weather_label_y
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,0,1,16,Saturday,True,Night (22-05),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,1,1,40,Saturday,True,Night (22-05),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,2,1,32,Saturday,True,Night (22-05),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,3,1,13,Saturday,True,Night (22-05),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,4,1,1,Saturday,True,Night (22-05),,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,5,2,1,Saturday,True,Night (22-05),,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,6,1,2,Saturday,True,Morning (06-11),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,7,1,3,Saturday,True,Morning (06-11),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,8,1,8,Saturday,True,Morning (06-11),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,9,1,14,Saturday,True,Morning (06-11),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,10,1,36,Saturday,True,Morning (06-11),Low,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,11,1,56,Saturday,True,Morning (06-11),Medium,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,12,1,84,Saturday,True,Afternoon (12-17),Medium,Cerah
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,13,2,94,Saturday,True,Afternoon (12-17),Medium,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,14,2,106,Saturday,True,Afternoon (12-17),Medium,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,15,2,110,Saturday,True,Afternoon (12-17),Medium,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,16,2,93,Saturday,True,Afternoon (12-17),Medium,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,17,2,67,Saturday,True,Afternoon (12-17),Medium,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,18,3,35,Saturday,True,Evening (18-21),Low,Hujan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,19,3,37,Saturday,True,Evening (18-21),Low,Hujan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,20,2,36,Saturday,True,Evening (18-21),Low,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,21,2,34,Saturday,True,Evening (18-21),Low,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,22,2,28,Saturday,True,Night (22-05),Low,Berawan
2011-01-01,1,2,985,Saturday,True,52,1,2011,Low,Berawan,23,2,39,Saturday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,0,2,17,Sunday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,1,2,17,Sunday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,2,2,9,Sunday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,3,2,6,Sunday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,4,2,3,Sunday,True,Night (22-05),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,6,3,2,Sunday,True,Morning (06-11),Low,Hujan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,7,2,1,Sunday,True,Morning (06-11),,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,8,3,8,Sunday,True,Morning (06-11),Low,Hujan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,9,2,20,Sunday,True,Morning (06-11),Low,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,10,2,53,Sunday,True,Morning (06-11),Medium,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,11,2,70,Sunday,True,Morning (06-11),Medium,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,12,2,93,Sunday,True,Afternoon (12-17),Medium,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,13,2,75,Sunday,True,Afternoon (12-17),Medium,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,14,3,59,Sunday,True,Afternoon (12-17),Medium,Hujan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,15,3,74,Sunday,True,Afternoon (12-17),Medium,Hujan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,16,3,76,Sunday,True,Afternoon (12-17),Medium,Hujan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,17,1,65,Sunday,True,Afternoon (12-17),Medium,Cerah
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,18,2,53,Sunday,True,Evening (18-21),Medium,Berawan
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,19,1,30,Sunday,True,Evening (18-21),Low,Cerah
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,20,1,22,Sunday,True,Evening (18-21),Low,Cerah
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,21,1,31,Sunday,True,Evening (18-21),Low,Cerah
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,22,1,9,Sunday,True,Night (22-05),Low,Cerah
2011-01-02,1,2,801,Sunday,True,52,1,2011,Low,Berawan,23,1,8,Sunday,True,Night (22-05),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,0,1,5,Monday,False,Night (22-05),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,1,1,2,Monday,False,Night (22-05),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,4,1,1,Monday,False,Night (22-05),,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,5,1,3,Monday,False,Night (22-05),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,6,1,30,Monday,False,Morning (06-11),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,7,1,64,Monday,False,Morning (06-11),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,8,1,154,Monday,False,Morning (06-11),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,9,1,88,Monday,False,Morning (06-11),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,10,1,44,Monday,False,Morning (06-11),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,11,1,51,Monday,False,Morning (06-11),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,12,1,61,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,13,1,61,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,14,1,77,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,15,1,72,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,16,1,76,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,17,1,157,Monday,False,Afternoon (12-17),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,18,1,157,Monday,False,Evening (18-21),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,19,1,110,Monday,False,Evening (18-21),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,20,1,52,Monday,False,Evening (18-21),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,21,1,52,Monday,False,Evening (18-21),Medium,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,22,1,20,Monday,False,Night (22-05),Low,Cerah
2011-01-03,1,1,1349,Monday,False,1,1,2011,Low,Cerah,23,1,12,Monday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,0,1,5,Tuesday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,1,1,2,Tuesday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,2,1,1,Tuesday,False,Night (22-05),,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,4,1,2,Tuesday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,5,1,4,Tuesday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,6,1,36,Tuesday,False,Morning (06-11),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,7,1,94,Tuesday,False,Morning (06-11),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,8,1,179,Tuesday,False,Morning (06-11),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,9,1,100,Tuesday,False,Morning (06-11),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,10,2,42,Tuesday,False,Morning (06-11),Medium,Berawan
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,11,1,57,Tuesday,False,Morning (06-11),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,12,1,78,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,13,1,97,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,14,1,63,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,15,1,65,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,16,1,83,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,17,1,212,Tuesday,False,Afternoon (12-17),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,18,1,182,Tuesday,False,Evening (18-21),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,19,1,112,Tuesday,False,Evening (18-21),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,20,1,54,Tuesday,False,Evening (18-21),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,21,1,48,Tuesday,False,Evening (18-21),Medium,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,22,1,35,Tuesday,False,Night (22-05),Low,Cerah
2011-01-04,1,1,1562,Tuesday,False,1,1,2011,Low,Cerah,23,1,11,Tuesday,False,Night (22-05),Low,Cerah
2011-01-05,1,1,1600,Wednesday,False,1,1,2011,Low,Cerah,0,1,6,Wednesday,False,Night (22-05),Low,Cerah
